,Activity Name (TO CHANGE TO ACTIVITY CODE),Failure Mode,Activity Description,Freq Numeral,Freq Literal,Note on Trigger Condition,Activity Type,Activity Procedure Recommended Action,Trade,Wrench Time (H),Asset Offline?,Resources,Applies to Class,Applies to Product-Line,Comments,More Specific Activity Child,More General Activity Parent,Parent ID,Act ID
10,Personal Floatation Device (PFD) C Leak Test ,,Perform the Leak Test of the Personal Floatation Device (PFD) to insure the device is not leaking when inflated. ,1.0,Year,,Inspect,"1) Ensure the PFD has passed the "" Oral Inflation Valve Test"".
2) Orally inflate the PFD until PFD is firm. 
3) Let the PFD sit inflated for sixteen hours in a temperature-controlled environment, at a constant temperature.
4) Check the firmness of the PFD; a PFD with a leak will not hold its firmness and should be replaced. 
5) Record ""Annual"" in permanent ink on the PFD service record label.",PT,0.25,,,,,This activity to keep separate or combined as mentioned above?,,,,64d3302deb764774b45816e5ff29be13
11,Life Jacket Annual Inspection,,Inspect and clean the life jacket to ensure it is in good working condition.,1.0,Year,,Clean,"Clean the life jacket to ensure it is in good working condition. 

For soiled lifejackets:
Use mild soap and water.
Rinse thoroughly.
Air-dry out of direct sunlight and away from direct heat",PT,0.25,,,,,,,,,fb3d1ae705a04f66aa97cbe18b62ef76
12,Life Ring Visual Annual Inspection,,Inspect the life ring to insure it is in good working condition.,1.0,Year,,Inspect,"1) Inspect the life ring that it is free of rips, tears, or holes.
2) Inspect that mold or mildew is not present on any part.
3) Inspect for UV damage indicated by significant discoloration or bleaching.
4) Thoroughly inspect all the components for dirt and/or corrosion. 
5) Products that indicate failure in any of the above-given areas must be repaired or replaced. ",PT,0.25,,,,,No Legislative standards for the asset. ,,,,943d76c6ca104877846b7cb0984e432b
13,Rubber Insulating Gloves effectiveness Inspection,,Inspect the rubber insulating gloves for their effectiveness to provide safety.,6.0,Month,,,"1) Inspect rubber insulation gloves for the following
- hole, tear, puncture, or cut;
- Ozone cutting or ozone checking (a series of interlacing cracks produced by ozone on rubber under mechanical stress);
- Embedded foreign objects;
- Texture changes such as swelling, softening, hardening, or becoming sticky or inelastic; or
- Any other defect that damages the insulating properties
2) If damage is found, create a work request in WMS to replace and re-inspect the rubber insulating gloves.",Contractor,0.25,,,,,,,,,3bc4d3b9865a41f0b2218296c489a1f3
14,Rubber Insulating Gloves Air Test,,"Air test the rubber insulating gloves as per ASTM F496-20, for their effectiveness to provide safety.",6.0,Month,,Test,"1) Complete air test as per ASTM F496-20.
2) If the rubber gloves are not compliant, create a work request in WMS to replace and retest the rubber insulating gloves.",Contractor,0.5,,,,,,,,,101a7f7164d6491b8e59108011181fa6
15,Rubber Insulating Sleeves Inspection,,Inspect the rubber insulating sleeves for their effectiveness to provide safety.,6.0,Month,,Inspect,"1) Inspect rubber insulation sleeves for the following
- hole, tear, puncture, or cut;
- Ozone cutting or ozone checking (a series of interlacing cracks produced by ozone on rubber under mechanical stress);
- Embedded foreign objects;
- Texture changes such as swelling, softening, hardening, or becoming sticky or inelastic; or
- Any other defect that damages the insulating properties
2) If damage is found, create a work request in WMS to replace and re-inspect the rubber insulating sleeves.",Contractor,0.25,,,,,,,,,1e4622b0740044e29852ceb65f35efba
16,Rubber Insulating Sleeves Air Test,,"Air test the rubber insulating sleeves as per ASTM F496-20, for its effectiveness to provide safety.",6.0,Month,,Test,"1) Complete air test as per ASTM F496-20.
2) If the rubber sleeves are not compliant, create a work request in WMS to replace and retest the rubber insulating sleeves.",Contractor,0.5,No,,,,,,,,8f4c275c48db40c5896181513ed92c21
17,Emergency Wash Annual Inspection,,"Annual Eyewash Inspection per ANSI Z358.1-2014, Sec 5.5.5",1.0,Year,,Inspect,"Ensure that 
* the eyewash is still at accessible locations that require no more than 10 seconds from hazard,
* the path of travel from the sources of hazard to the eyewash is free of obstructions, and that not new structure or door has been added,
* any lighting in the area of wash station is working,
* check for the existence of shutoff valve, if any is found, ensure that a measure (still) exists to prevent its unauthorized shutoff
* is connected to a supply of flushing fluid per the manufacturer’s installation instructions,
* has sufficient supply to sustain spray pattern for a minimum period of 15 minutes,
* if the eyewash is vulnerable to freezing, it is protected from freezing the protection measures are in working condition.
If the emergency eye-wash or shower station is not compliant, notify the plant operations and create a work request in WMS",Decision of FMT,0.5,No,,,,1/30/23 - [ ]TH with Durai and Robin: cannot fully assume this is performed by contractor 2) the procedure does not cite the standard it comes from.  ,,,,680e55460236460f8031d669d33b57da
18,Emergency eyewash or shower- general,,Perform inspection for the operation of emergency eyewash and shower station.,1.0,Week,,Inspect,"1) Follow the ""Weekly Emergency Eyewash Station Maintenance Checklist"" SP O5 Appendix A to perform the inspection.[http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/eyewash-inspection-checklist.pdf]
2) Complete the required information in the checklist including the date and initials of the person performing the inspection.
3) If any questions in the checklist resulted in a negative answer, correct the issue yourself if you can. If not, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.
4) Report any obstructions, damage, improper flow, or potential problems to the area supervisor.",PT,0.25,No,,,,,,,,ecdf440f6df24d45aacc3392c66a82f5
19,Eye/face station-plumbed,,Perform inspection for the operation of eye/face station- plumbed.,1.0,Week,,,"1) Inspect all the items listed below for the eye/face station-plumbed:-
- Equipment safety sign is highly visible and area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Light bulbs and Light fixtures are in working condition
- Check inspection tag card present, initialed, and up-to-date
- Nozzles, dust caps and/or covers are in place
- No damage or cracks to the unit
- No signs of corrosion or leaking water around the unit
- No dirt or debris (dust or clean when needed � No chemical cleaners should be used)
- Pull rod, push flag, or other parts of the unit are in a functional, usable state
- Activate/run water for 2-3 mins weekly; ensure proper flow and water does not appear dirty or cloudy
- Adequate water pressure and flow (not erratic), constant until returned to resting position
- Anti-slip flooring is in place where drainage is insufficient or non-existent
- Flow removes eyepiece covers/ nozzle caps
- Water drains properly from the basin/sink. 
- Water temperature is ""tepid"" (16 � 38 degrees C)
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,,968fd8c63a1d438882cdad12458e5b95
20,Self-contained breathing apparatus (SCBA),,Perform fit tests on all appropriate staff with all the components of self-contained breathing apparatus (SCBA).,1.0,Year,,Test,"1) Perform a fit test on all appropriate staff with all the components (hoses, regulator, pressure gauges, facepiece, harness, etc) of self-contained breathing apparatus (SCBA).
2) If any issues with fitting or sealing of components, report to the supervisor.
3) Practice the use of SCBA equipment.
4) Schedule SCBA usage refresher training for the appropriate staff.
5) Inspect tank for date stamp of last ""hydrostatic test"", if it has passed over 3 years from the test, report to supervisor immediately and request to schedule the ""hydrostatic test"".
",Contractor,1.0,,,,,,,,,894f470c64324738880a024789b35467
21,Self-contained breathing apparatus (SCBA): Hydrostatic Test,,Perform hydrostatic pressure test for all SCBA steel and aluminum cylinders to test the structural integrity of cylinders.,5.0,Year,,Test,"1) Perform a ""Hydrostatic Test"" for composite SCBA cylinder.
2) Remove the cylinder from service upon failure of a hydrostatic test.",Contractor,1.0,,,,,,,,,7610a2fcb3294591bccabeb3a85e0f8b
22,Self-contained breathing apparatus (SCBA),,Check the service life of the composite cylinder of SCBA.,1.0,Year,,Inspect,"1) Check the manufacturing date for the composite cylinder. The composite cylinder must be removed from service no later than 15 years from its manufacturing date.
",Contractor,0.25,,,,,,,,,da1acb3de9134a69a71534aa11105ae4
23,Self-contained breathing apparatus (SCBA),,Perform hydrostatic pressure test for all SCBA steel and aluminum cylinders to test the structural integrity of cylinders.,3.0,Year,,Test,"1) Perform ""Hydrostatic Test"" for composite SCBA cylinder.
2) Remove the cylinder from service upon failure of a hydrostatic test.",Contractor,1.0,,,,,,,,,86f2a8c08fb64141b8e05b1f863fb018
24,Self-contained breathing apparatus (SCBA),,Perform hydrostatic pressure test for all SCBA composite cylinders to test the structural integrity of cylinders.,5.0,Year,,Test,"1) Perform a ""Hydrostatic Test"" for all steel and aluminum SCBA cylinders.
2) Remove the cylinder from service upon failure of a hydrostatic test.",Contractor,1.0,,,,,,,,,17ec2d4572b544c19cc906ec2de9df29
25,"Generator: Consumables, Fuel Level Check",,Inspect the fuel level in the auxillary supply tank. ,1.0,Week,,Inspect,"1) Inspect the fuel level in the auxiliary supply tank.
2) If the fuel level is below the designated low level, immediately create a Work Request for refueling. 
3)  If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.25,No,,,,Why is the standards information is not showing up?,,,,1049bc15ba324a2cb0688cf9f7f12b77
26,"Generator: Consumables,  Main Tank Fuel Level",,Inspect the fuel level in the main tank to make sure there is sufficient fuel for the generator to run a minimum of 2 hours.,1.0,Week,,Inspect,"1) Inspect the fuel level in the main fuel supply tank.
2) If the fuel level is is not sufficient for the generator to run for 2 hours, immediately create a Work Request for refueling.
3)  If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.25,No,,,,,,,,31a8b8173c0d41e5b0f5bed131db9961
27,"Generator: Consumable, Oil Level",,Inspect the lubricating oil level. ,1.0,Week,,Inspect,"NOTE: if a dipstick is found on the governor, fuel pump, or any other device, their oil levels must also be checked.
SAFETY WARNING: the oil may be hot after a load test, take all PPE precautions to avoid skin burn.
1) If the generator is running turn off the generator, and let it sit idle for 4 minutes to let the oil settle.
2) Pull out the oil level gauge and wipe it clean with a cloth.
3) Insert the oil level gauge fully into the oil level gauge guide and then pull it out again to check for the fill level.
4) Confirm that the engine oil level displayed at the generator control panel roughly agrees with the dipstick reading.
5) Record oil level.
6) Top-up oil as required.
NOTE: use the machine oil type specified by the OEM for the top-up.",Ind Mill,0.25,No,,,,,,,,9d107730e8474ee1b51b1829c5806217
28,"Generator: Consumables, Engine Coolant Level",,Inspect engine coolant level. ,1.0,Week,,Inspect,"1) Ensure the generator is not running and cooled off to make sure the coolant tank is not pressurized.
2) Verify that the coolant fill level is more than halfway between the low and high-level marks.
3) Record coolant level.
4) Confirm that the level indicated on the level gauge and/or the generator control panel reading is correct.
5) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.25,,,,,,,,,e2a63b786acc4995be3dfda5ecf590f2
29,"Generator: Consumables, Check system for Leakage",,"Inspect engine, generator, fuel tank(s), and cooling systems for leakage",1.0,Week,,Inspect,"1) Use a flashlight to inspect for any signs of oil, fuel, coolant, electrolyte, or any other leaks on the genset.
2) Check the drip tray or the ground for any liquid.
3) If a leak is noticed,  create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.25,,,,,,,,,bbbb0f8cdbb842e284eb7d78babab7e3
30,"Generator: Consumables, Inspect Fuel Transfer Pump ",,Inspect for proper operation of fuel transfer pump (if applicable),1.0,Week,,Inspect,"NOTE: Replacement or repair of the fuel filter should be done by a TSSA Certified Petroleum Mechanic.
1) Listen to the pump's operation (using a stethoscope if needed); ensure the pump is not making unusual grinding or rumbling noises that suggest abnormal wear.
2) Take note of any signs of fuel leak at the pump.
3) If an issue is discovered, provide a detailed comment, and create a Work Request for a TSSA certified technician.
NOTE: The pump is usually located at or near the fuel filter/fuel water separator.",Ind Mill,0.15,,,,,,,,,5f3d263129a543ffbb313dd3846b358b
31,"Generator: Consumables, Inspect Fuel Filter",,Inspect fuel filter for contamination if the filter is equipped with a transparent bowl.,1.0,Week,,Inspect,"NOTE: applicable to fuel filters fitted with a transparent bowl.
1. Visually check for the presence of solids or waxy sludge in the filter bowl.
2. Check if the fuel appears cloudy or dark brown.
3. Check fuel level is within 80% of the filter change indication line at the top of the bowl.
4. If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,,,,,eac78faf05d54899b53bed5ff136f9fd
32,"Generator: Starter System, Inspect Electrical Starter",,"Inspect electrical starter for cleanliness, mounting, and terminal security.",1.0,Week,,Inspect,"1) Ensure the starter is rigidly mounted.
2) Check electrical connection for tightness and integrity.
3) Wipe off excess dust with a rag.
4) When starting the engine for the monthly load test, verify that the cranking is not sluggish.
5) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,,,,,28ab9cf0063e450e9bc5bb784287b17c
33,"Generator: Starter System, Inspect Air Tank",,Inspect air tanks for pressure.,1.0,Week,,Inspect,"1) Check the air pressure gauge to see if the air pressure in the air tank conforms to the standard.
2) Open the air pressure gauge valve.
3) Check the air pressure gauge.
Specified value: For air direct starting: 2.94 MPa {30 kgf/cm2} [427 psi] For air motor: 0.98 MPa {10 kgf/cm2 [142 psi]
4) If the specification of the air tank differs from the above specification, corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,,,,,cf0e7304bb6945318406552d512b332d
34,"Generator: Starter System, Inspect Valve",,Inspect valve for leakage,1.0,Week,,Inspect,"1) Look around the valve for signs of damages.
2) Ensure that the valve is rigidly mounted.
3) hear (using a stethoscope if needed); if there is any hissing sound coming from the valve, indicating loose connection and leakage.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,,,,,8f08fe5bf2044b14afcfc33792450ad1
35,"Generator: Starter System, Inspect Auxiliary Engine and Compressor",,Test auxiliary engine and compressor for proper operation.,1.0,Week,,Inspect,"1) Turn on the the GenSet.
2) Locate the auxiliary engine and insure it is operating without issues, and check for any unusual noise coming from the auxiliary engine. 
3) Locate the compressor and insure it is operating without issues, and check for any unusual noise coming from the compressor. 
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",,,,,,,,,,,6092814806f245c993da39ed8ca30a38
36,"Generator: Starter System, Condensation Bleed Off",,Bleed off any condensation,1.0,Week,,Drain,"1) Make sure the genset is completely turned off.
2) Check the pressure gauge to make sure there is some pressure in the compressor tank.
3) Open the drain tap enough for the condensated water to blow out.
4) Close the drain tap once the water is drained. 
5) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,,,,,d7437f59c92848a3bf4dcd4686a6f75c
37,"Generator: Batteries and Charging Equipment, Inspect Battery Cells",,Inspect all battery cells for correct electrolyte fill level (applicable to vented or flooded lead-acid batteries only). ,1.0,Week,,Inspect,"SAFETY NOTE: battery acid is very corrosive, long chemical resistant gloves, rubber aprons, and face protection should be worn.
1) Clean the top of the battery to remove any dust or corrosion built up.
2) Open the battery's top caps to expose the fill wells.
3) Using a flashlight, ensure the electrolyte level is at least 1/2 inch above the plates.
4) Warning: do not fill the battery beyond the full indicator mark or above the bottom of the fill wells.
5) If the electrolyte level is low, top it up with distilled water.",Ind Mill,0.25,,,,,,,,,668addff31d34cc9a54435fec7d2cb98
38,"Generator: Batteries and Charging Equipment, Test Battery Cells",,Test all battery cells for correct electrolyte specific gravity (applicable to vented or flooded lead-acid batteries only).,1.0,Week,,Test,"SAFETY NOTE: battery acid is very corrosive, long chemical resistant gloves, rubber aprons, and face protection should be worn.
1) Open the top cover of the battery.
2) Using a battery hydrometer, ensure that the specific gravity of the battery electrolyte is 1.265 or higher.
3) Record the specific gravity of the batteries.
4) If float voltage is NOT correct, record notes, detailed comments, and create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair and verify the charger's charge and float voltages.
",Ind Mill,0.25,,,,,,,,,4a0c7c84acca4d54aec12d1ca82b267a
39,"Generator: Batteries and Charging Equipment, Inspect Electrical Connections",,Inspect electrical connections for tightness and evidence of corrosion.,1.0,Week,,Inspect,"SAFETY NOTE: battery acid is very corrosive, long chemical resistant gloves, rubber aprons, and face protection should be worn.
1) Inspect for tightness of the terminal.
2) If light corrosion is found, disassemble the terminal, and clean the contacts gently using a fine metal brush or battery post cleaning tool.
3) If a severely corroded contact or crack in the house is found, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair to:
- replace the battery and/or the cable connector.
- check all battery charging voltages are within specification.
",PT,0.15,,,,,,,,,91de2b77721844e289c60b3f3a1017c9
40,"Generator: Batteries and Charging Equipment, Inspect Battery for Cleanliness",,Inspect battery for cleanliness and dryness between terminals. ,1.0,Week,,Inspect,"1) Visually inspect the top of the batteries and the battery terminals.
2) If the top is wet, check if the electrolyte levels are too high.
3) If the electrolyte level is not high, then use a multimeter to check the float, charge, and equalization voltages against the battery manufacturer's specifications.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.    ",PT,0.15,,,,,,,,,8657bd972d4d42d0a328de568bc18595
41,"Generator: Batteries and Charging Equipment, Inspect Charger Connections",,Inspect charger electrical connections for cleanliness and tightness.,1.0,Week,,Inspect,"1) Visually inspect the electrical connections for cleanliness on the wire.
2) Check the tightness of the battery by giving the connection a twist. 
3) Check for corrosion, if light corrosion is found, clean the contacts gently using a fine metal brush or battery post cleaning tool.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.   ",EICT,0.25,,,,,,,,,4baee3a37e834041996512fa8b818321
42,"Generator: Engine, Test Lubricant Heater",,Test lubricant heaters for proper operation.,1.0,Week,,Test,"NOTE: applies to outdoor generators equipped with oil heater (usually located in the oil sump or in a bypass tank)
1) Locate the lube oil heater near the bottom of the engine oil pan; see OEM manual for detail
2) When the temperature is below - 5 C, verify that the heater hose is warm to touch.
",Ind Mill,0.15,,,,,,,,,cac542ace8c14cc7b49629c25cfa1bb2
43,"Generator: Engine, Test Coolant Heater",,Test coolant heaters for proper operation.,1.0,Week,,Test,"NOTE: applies to outdoor generators equipped with a coolant/crankcase/block heater (typically a cylindrical device). Applies only when the ambient temperature is below 15 C*.
1) Verify that the coolant heater hoses are warm to touch.
2) Check the coolant temperature, verify the temperature is above 15 degC.",Ind Mill,0.15,,,,,,,,,85a5ad3d1d6b4c4990296ef159c25758
44,"Generator: Engine, Inspect Linkages",,Inspect governor control linkages (if applicable).,1.0,Week,,Inspect,"NOTE: applicable to engines equipped with a mechanical governor
1) Visually inspect for excessive dust pollution in the linkage between the governor, throttle, and injection pump.
2) Visually inspect for any tackiness of grease at all pins and joints.
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.   ",Ind Mill,0.15,,,,,,,,,46ad697ee05a438bac7fd7f06b6037a2
45,Generator: Engine4 Check oil level,,Check governor oil level.,1.0,Week,,Check,"SAFETY WARNING: the oil may be hot after a load test, take all PPE precautions to avoid skin burn.
1) If applicable, check the governor oil level using a dipstick. 
[ If the generator is running turn off the generator, and let it sit idle for 4 minutes to let the oil settle.]
2. Top up the oil if necessary.
NOTE: use the machine oil type specified by the governor OEM",Ind Mill,0.15,,,,,,,,,8d80f0496cc646ab905ee5eb87900d01
46,"Generator: Engine, Inspect Fuel Pump Oil",,Inspect fuel pump oil sump (if applicable).,1.0,Week,,Inspect,"1) Inspect the sump for the signs of leakage.
2) Inspect the sump for dust, debris, or damages.
3) Inspect the sump for signs of corrosion.
4) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.    

",Ind Mill,0.15,,,,,,,,,e9cd9df0f46347ad969c3497a7a14343
47,"Generator: Engine, Inspect Fan",,Inspect fan belts for correct tension and wear.,1.0,Week,,Inspect,"1. Inspect the fan belt for oil contamination, cracks, wear, and heat degradation.
2. Inspect the fan belt for signs of looseness and slacking.
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.    
",Ind Mill,0.15,,,,,,,,,c5d7496b203f40a79c252190cce083f5
48,"Generator: Control Panel, Inspect Control Panel",,Inspect control panel cover for security.,1.0,Week,,Inspect,"1) Visually inspect the control panel cover for proper closure without gaps.
2) Check no tightening hardware is missing. 
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. ",EICT,0.15,,,,,,,,,367261a65cb143969af3927f728c5b9d
49,"Generator: Control Panel, Test Annunciator Panel",,Test annunciator lamps to confirm that they are operational. ,1.0,Week,,Test,"1) If a test button is present, press the test-lights button on the control or annunciator panel to ensure all panel lights are functional.
2) If the test fails, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. ",EICT,0.15,,,,,,,,,78bcfcf0093d48e6a36f0ed29964df84
