Requirement Name,Found in Document,Doc ID,Requirement Section,Requirement Text,Supported by (Activity),Act ID,Grounded By (Requirement),Is Grounding (Requirement),Req ID (is grounding),Applies to (Asset Class),Class ID,Reg Fully Grounded,Req ID,TO REMOVE: Document Name,Class Attributes Note,TO REMOVE 🕝Frequency,TO REMOVE Performed By (Trade),TO REMOVE - URL,Work Comments,Name Text,📕 Source Document
"CSA B64.10-17, Section: 4.3.1",,,4.3.1,The results shall be reported on the form appropriate for the types of backflow preventer and procedure. ,https://www.notion.so/Backflow-Preventer-Report-896e8fd701b54fe89508585b6eb50d97,896e8fd701b54fe89508585b6eb50d97,,,,https://www.notion.so/backflow-preventer-820677d0c7e44520a83d328e2e371d97,820677d0c7e44520a83d328e2e371d97,,1270dea63c5e4bc28eaf04ecea7614c5,CSA B64.10-17,,As per the activity,Contractor,https://www.csagroup.org/store/product/B64.10-17%25100B64.10.1-17/,,"CSA B64.10-17, Section: 4.3.1",
"AWWA Backflow Prevention and Cross-Connection Control, Section: ",,,,,https://www.notion.so/Backflow-Preventer-Inspection-dd1bb8dc367842fcac2cb066ddec49f2,dd1bb8dc367842fcac2cb066ddec49f2,,,,https://www.notion.so/backflow-preventer-820677d0c7e44520a83d328e2e371d97,820677d0c7e44520a83d328e2e371d97,,63e0f04e11024c6e906563b47e4ad29f,AWWA Backflow Prevention and Cross-Connection Control,,,Contractor,https://engage.awwa.org/PersonifyEbusiness/Store/Product-Details/productId/50277934,#CannotAccessMissingDetail,"AWWA Backflow Prevention and Cross-Connection Control, Section: ",
"CSA B64.10-17, Section: 8",,,8,"8 Field test requirements and pass/fail criteria
Notes:
1) Recommended field test procedures are provided in Annex A.
2) For the purposes of this Clause, the term ""stabilized"" means that the gouge reading can be fluctuating but not descending.
8.1 PVB devices
8.1.1 General 
To be recorded as ""passed"", a PVB device shall comply with the requirements of Clauses 8.1.2, 8.1.3, and 8.1.4. If ""failed"" is recorded in one or more of these tests, the PVB device shall be recorded as ""failed"". The test results shall be recorded as specified in Clause 4.3.1 (see Table 1).
8.1.2 Air inlet valve
8.1.2.1 Requirements
The air inlet valve shall begin to open when the internal pressure in the PVB device is at least 6.9 kPa higher than atmospheric pressure and shall be fully open when the water drains from the PVB device.
8.1.2.2
Pass/fail criteria if the air inlet valve begins to open when the internal pressure in the PVB device is at least 6.9 kPa higher than atmospheric pressure and is fully open when the water drains from the PVB device, the test shall be recorded as ""opened/passed"".
if one or both requirements are not met, the test shall be recorded as ""failed to open/failed"".
8.1.3 Check valve
8.1.3.1 Requirements The check valve shall close tight for a minimum period of 2 min or until the gauge reading stabilizes, in the direction of flow, when the inlet pressure is at least 6.9 kPa higher than the outlet pressure.
8.1.3.2 Pass/fail criteria If the check valve closes tight for a minimum period of 2 min or until the gauge reading stabilizes, in the direction of flow, when the inlet pressure is at least 6.9 kPa higher than the outlet pressure, the test shall be recorded as ""closed tight/passed"".
if the check valve does not close tight for a minimum period of 2 min or until the gauge reading stabilizes, the test shall be recorded as ""leaked/failed"".
8.1.4 Static line pressure
8.1.4.1 Requirements The static inlet line pressure shall be measured at the time of the test and recorded on the test report form.
8.1.4.2 Pass/fail criteria if the static inlet line pressure at the time of testing is a) recorded on the test report form, the test shall be recorded as ""passed""; and b) not recorded on the test report form, the test shall be recorded as ""failed"".

",https://www.notion.so/Backflow-Preventer-Field-Test-ed36b2eec4d3460ea9637aef7c6b7151,ed36b2eec4d3460ea9637aef7c6b7151,,,,https://www.notion.so/backflow-preventer-820677d0c7e44520a83d328e2e371d97,820677d0c7e44520a83d328e2e371d97,,3f53efe451bc4a82bcd474ccf8fce72e,CSA B64.10-17,,As per the activity,Contractor,https://www.csagroup.org/store/product/B64.10-17%25100B64.10.1-17/,,"CSA B64.10-17, Section: 8",
TSSA BPV-20-01 exception to CSA B51 on power boilers,https://www.notion.so/BPV-20-01-R1-f9b7c79ba0ed444a96b87dbb52107a27,f9b7c79ba0ed444a96b87dbb52107a27,1.40.a,"Power boilers 
i. steam service operating pressure above 103 kPa (15 psig) shall have a system test or lift test annually and shall be serviced every five years, 
ii. hot water service operating pressure above 1100 kPa (160 psig) or above the temperature 121oC (250oF) shall have a system test or lift test annually and shall be serviced every five years;","https://www.notion.so/1-year-safety-and-pressure-relieving-valve-lift-test-of-power-boilers-9b8a24728e78450cbe397e33aa19ae04, https://www.notion.so/5-year-service-of-power-boilers-1806eacd786d40599ab206366679174f","9b8a24728e78450cbe397e33aa19ae04,1806eacd786d40599ab206366679174f",,,,https://www.notion.so/Defined-power-boiler-e5c173ed817241ca90e86c9d617f329c,e5c173ed817241ca90e86c9d617f329c,No,fb844d600cb64bd8896751e36a6621f2,,,Annually,Contractor,https://www.tssa.org/en/boilers-pressure-vessels/resources/Documents/Final-BPV-CAD-Amendment-2017.pdf,,", Section: 1.40.a",
TSSA BPV-20-01 exception to CSA B51 on heating boilers,https://www.notion.so/BPV-20-01-R1-f9b7c79ba0ed444a96b87dbb52107a27,f9b7c79ba0ed444a96b87dbb52107a27,1.40.b,"Heating boilers
i. up to and including a maximum pressure of 1100 kPa (160 psig) at a maximum temperature of 121oC (250oF) shall have a manual lift test or system test every two years and serviced every six years,
ii. steam service operating up to and including a maximum pressure of 103 kPa (15 psig) shall have a manual lift test annually and shall be serviced every five years
","https://www.notion.so/1-year-manual-lift-test-of-low-pressure-steam-service-boiler-2dcc6df4655f46579ff6ed82cf0b1573, https://www.notion.so/2-year-lift-or-system-test-of-low-pressure-hot-water-boiler-7924c800daf041189183396657f98623, https://www.notion.so/6-year-service-of-low-pressure-hot-water-boiler-5a84e3c22b6340ab8863736ac044d26c, https://www.notion.so/5-year-service-of-low-pressure-steam-service-boiler-3a887ae5a58c4106b952f22909d4cbc2","2dcc6df4655f46579ff6ed82cf0b1573,7924c800daf041189183396657f98623,5a84e3c22b6340ab8863736ac044d26c,3a887ae5a58c4106b952f22909d4cbc2",,,,https://www.notion.so/Defined-low-pressure-boiler-5eeee1ea46e34890ac3dcf134c0ef010,5eeee1ea46e34890ac3dcf134c0ef010,No,d05fac2d8cae4091b856dc67a21df96c,,,5 Years,Contractor,https://www.tssa.org/en/boilers-pressure-vessels/resources/Documents/Final-BPV-CAD-Amendment-2017.pdf,,", Section: 1.40.b",
"OSHA 1910.184, Section: 1910.184(e)(3)(i)",,,https://www.osha.gov/laws-regs/interlinking/standards/1910.184(e)(3)(i),"In addition to the inspection required by paragraph (d) of this section, a thorough periodic inspection of alloy steel chain slings in use shall be made on a regular basis, to be determined on the basis of (A) frequency of sling use; (B) severity of service conditions; (C) nature of lifts being made; and (D) experience gained on the service life of slings used in similar circumstances. Such inspections shall in no event be at intervals greater than once every 12 months.",https://www.notion.so/Chain-Sling-Inspection-Frequency-Verification-89a8cbfff9b643b380228c05f93fb152,89a8cbfff9b643b380228c05f93fb152,,,,https://www.notion.so/chain-sling-955b89ab1b20474f97408041a9afa7f3,955b89ab1b20474f97408041a9afa7f3,Yes,41be326b2a734ca4abc7497f339890be,OSHA 1910.184,,Annually,Contractor,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.184,Grounded by activity,"OSHA 1910.184, Section: 1910.184(e)(3)(i)",
"OSHA 1910.184, Section: 1910.184(d)",,,https://www.osha.gov/laws-regs/interlinking/standards/1910.184(d),"Inspections
Each day before being used, the sling and all fastenings and attachments shall be inspected for damage or defects by a competent person designated by the employer. Additional inspections shall be performed during sling use, where service conditions warrant. Damaged or defective slings shall be immediately removed from service.","https://www.notion.so/Chain-Sling-Inspection-For-Safe-Usage-242e96dc5d92460f9e02c9dd79189aa3, https://www.notion.so/Wire-Mesh-Sling-Inspection-For-Safe-Usage-9615c395bdc54194a7e265b45b170972, https://www.notion.so/Web-Sling-Inspection-For-Safe-Usage-e3ce8e366b0f48c7ac99ebd0eba55e13, https://www.notion.so/Wire-Rope-Sling-Inspection-For-Safe-Usage-4194969a55204b3e8265922d01d24214","242e96dc5d92460f9e02c9dd79189aa3,9615c395bdc54194a7e265b45b170972,e3ce8e366b0f48c7ac99ebd0eba55e13,4194969a55204b3e8265922d01d24214",,,,"https://www.notion.so/chain-sling-955b89ab1b20474f97408041a9afa7f3, https://www.notion.so/web-sling-18eee6561af54394a626fe98b74b1d6e, https://www.notion.so/wire-mesh-sling-f8ddec4643a9403f93c5209d6874a4ed, https://www.notion.so/wire-rope-sling-77c5233ab77743378ce0b629bfb2ea27","955b89ab1b20474f97408041a9afa7f3,18eee6561af54394a626fe98b74b1d6e,f8ddec4643a9403f93c5209d6874a4ed,77c5233ab77743378ce0b629bfb2ea27",Maybe,ab378a867d1c432a82a6a393ab9c5fb9,OSHA 1910.184,,Prior to use,Staff,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.184,The activities for different slings needs to be divided ,"OSHA 1910.184, Section: 1910.184(d)",
"ASTM F1052-14, Section: 4.2",,,4.2,"4.2 Pressure testing of vapour protective suits should be conducted at a frequency recommended by the manufacturer but no less often than upon receipt of the garment after each wearing if the suit is to be reused, and at least annually thereafter. 
Pressure Test and Inspection of the level 'A' front entry suit
1. Check the bag for any damage
2. Check the bag zipper is moving freely
3. Check the expiry date of the suit
4. The suit should be pressure tested and inspected by the manufacturers every 1 year
",https://www.notion.so/Chemical-Suit-Inspection-For-Safe-Usage-Condition-333385d9a07f4814a077bf668152f448,333385d9a07f4814a077bf668152f448,,,,https://www.notion.so/chemical-suit-025feed46e6e47b686172d5446426cdc,025feed46e6e47b686172d5446426cdc,,709de60004b44d8bb1b622a248d2b212,ASTM F1052-14,,Annually,Contractor,https://webstore.ansi.org/standards/astm/astmf105209,#CannotAccess,"ASTM F1052-14, Section: 4.2",
"CSA B149.6-20, Section: 13.5.1",,,13.5.1,"13.5 Maintenance of compressors and relief devices
13.5.1 For inspection and test purposes, all compressors, relief devices, and pressure limiting equipment shall be subjected to at least annual inspections and to such tests as are necessary to determine that
a) they are in good mechanical condition;
b) they are adequate, from the standpoint of capacity and reliability of operation, for the service in which they are employed;
c) they are properly installed and protected from dirt, liquids, or other conditions that might prevent proper and safe operation; and
d) the relief devices are set to function at the correct pressure.

13.5.2 Records of the inspections and tests specified in Clause 13.5.1 shall be maintained, as well as records of all corrective actions taken.",https://www.notion.so/Gaseous-Fuel-Handling-compressor-and-Pressure-relive-device-bb984fde70e64fe4ac4a5de7e9c5c82b,bb984fde70e64fe4ac4a5de7e9c5c82b,,,,"https://www.notion.so/pressure-relieving-equipment-f292f850f3c5432592437d1d0c59785d, https://www.notion.so/compressor-e99402a5b7fb42259fd9ee919bbad33d","f292f850f3c5432592437d1d0c59785d,e99402a5b7fb42259fd9ee919bbad33d",,a263508afda54417a89ef92ea9aaca17,CSA B149.6-20,,Annually,"Contractor, See Note",https://www.csagroup.org/store/product/CSA%25100ANSI%20B149.6%3A20/,"#CannotAccess
SC: This CSA Standard is accessible on CCOHS. I have included the excerpt for qualified personnel (sec. 4.3.2 in B149.6-15). ","CSA B149.6-20, Section: 13.5.1",
"CSA C282-19, Section: ",,,,"1. Consumables:
a) Inspect auxiliary supply tank fuel level (gas pressure) and main tank level (gas pressure) (if applicable). There
shall be a minimum supply of 2 h (see Clause 7.3.1).
b) Inspect lubricating oil level.
c) Inspect engine coolant level.
d) Inspect engine, generator, fuel tank(s), and cooling systems for leakage.
e) Inspect for proper operation of fuel transfer pump (if applicable).
f) Inspect fuel filter for contamination if filter is equipped with a transparent bowl.
2. Starter system:
a) Inspect electric starter for cleanliness, mounting, and terminal security.
b) Air starter:
i. Inspect air tanks for pressure.
ii. Inspect valves for leakage.
iii. Test auxiliary engine and compressor for proper operation.
iv. Bleed off any condensation.
3. Batteries and charging equipment:
a) Inspect electrical connections for tightness and evidence of corrosion.
b) Inspect battery for cleanliness and dryness between terminals.
c) Inspect charger electrical connections for cleanliness and tightness.
4. Engine:
a) Test lubricant and/or coolant heaters for proper operation.
b) Inspect governor control linkages and oil level (if applicable).
c) Inspect fuel pump oil sump (if applicable).
d) Inspect fan belts for correct tension and wear.
5. Control panel:
a) Inspect control panel covers for security.
b) Test annunciator lamps to confirm that they are operational.
c) Inspect control panel settings (ensure that the unit is ready for automatic start-up).
d) Test remote visual and audible trouble signals at the building fire alarm panel.
6. Inspect air control louvre settings to ensure proper operation.
7. Test emergency lighting unit(s).
8. Verify whether room temperature is above 10 °C.
9. Inspect generator and transfer switch room(s) for cleanliness and accessibility to all components of the emergency
system.
10. Correct all defects found during inspections and tests.
11. Record all inspections, tests, and corrective actions in the log (see Clause 11.5.3).","https://www.notion.so/Generator-Starter-System-Inspect-Electrical-Starter-28ab9cf0063e450e9bc5bb784287b17c, https://www.notion.so/Generator-Starter-System-Inspect-Air-Tank-cf0e7304bb6945318406552d512b332d, https://www.notion.so/Generator-Starter-System-Inspect-Valve-8f08fe5bf2044b14afcfc33792450ad1, https://www.notion.so/Generator-Starter-System-Inspect-Auxiliary-Engine-and-Compressor-6092814806f245c993da39ed8ca30a38, https://www.notion.so/Generator-Starter-System-Condensation-Bleed-Off-d7437f59c92848a3bf4dcd4686a6f75c, https://www.notion.so/Generator-Consumables-Main-Tank-Fuel-Level-31a8b8173c0d41e5b0f5bed131db9961, https://www.notion.so/Generator-Consumable-Oil-Level-9d107730e8474ee1b51b1829c5806217, https://www.notion.so/Generator-Consumables-Engine-Coolant-Level-e2a63b786acc4995be3dfda5ecf590f2, https://www.notion.so/Generator-Consumables-Check-system-for-Leakage-bbbb0f8cdbb842e284eb7d78babab7e3, https://www.notion.so/Generator-Consumables-Inspect-Fuel-Transfer-Pump-5f3d263129a543ffbb313dd3846b358b, https://www.notion.so/Generator-Consumables-Inspect-Fuel-Filter-eac78faf05d54899b53bed5ff136f9fd, https://www.notion.so/Generator-Batteries-and-Charging-Equipment-Inspect-Battery-Cells-668addff31d34cc9a54435fec7d2cb98, https://www.notion.so/Generator-Batteries-and-Charging-Equipment-Test-Battery-Cells-4a0c7c84acca4d54aec12d1ca82b267a, https://www.notion.so/Generator-Batteries-and-Charging-Equipment-Inspect-Electrical-Connections-91de2b77721844e289c60b3f3a1017c9, https://www.notion.so/Generator-Batteries-and-Charging-Equipment-Inspect-Battery-for-Cleanliness-8657bd972d4d42d0a328de568bc18595, https://www.notion.so/Generator-Batteries-and-Charging-Equipment-Inspect-Charger-Connections-4baee3a37e834041996512fa8b818321, https://www.notion.so/Generator-Engine-Test-Lubricant-Heater-cac542ace8c14cc7b49629c25cfa1bb2, https://www.notion.so/Generator-Engine-Test-Coolant-Heater-85a5ad3d1d6b4c4990296ef159c25758, https://www.notion.so/Generator-Engine-Inspect-Linkages-46ad697ee05a438bac7fd7f06b6037a2, https://www.notion.so/Generator-Engine4-Check-oil-level-8d80f0496cc646ab905ee5eb87900d01, https://www.notion.so/Generator-Engine-Inspect-Fuel-Pump-Oil-e9cd9df0f46347ad969c3497a7a14343, https://www.notion.so/Generator-Engine-Inspect-Fan-c5d7496b203f40a79c252190cce083f5, https://www.notion.so/Generator-Control-Panel-Inspect-Control-Panel-367261a65cb143969af3927f728c5b9d, https://www.notion.so/Generator-Control-Panel-Test-Annunciator-Panel-78bcfcf0093d48e6a36f0ed29964df84, https://www.notion.so/Generator-Control-Panel-Inspect-Control-Panel-Setting-cbf0a6f3d3d3464294cbc79cefa9ca46, https://www.notion.so/Generator-Control-Panel-Test-Trouble-Signals-283eb43adc9e4905a3ad75e8b3dd4918, https://www.notion.so/Generator-Control-Panel-Inspect-Louvre-227092741c0b43ce9475a7ef9b4457e0, https://www.notion.so/Generator-Control-Panel-Test-Emergency-Light-7847786bb68b4839932c04b12e06065a, https://www.notion.so/Generator-Control-Panel-Verify-Room-Temperature-a9a71dee52a2436ca4688bb7f7bcddf7, https://www.notion.so/Generator-Control-Panel-Inspect-for-Cleanliness-366e9ef3e2394aec8f96b39e9a873310, https://www.notion.so/Generator-Control-Panel-Fix-the-Defects-8d76e40430fa4e6aa1ff3a0b00573500, https://www.notion.so/Generator-Control-Panel-PM-Data-Recording-eb4ecccc747949daaa7268676d554c39","28ab9cf0063e450e9bc5bb784287b17c,cf0e7304bb6945318406552d512b332d,8f08fe5bf2044b14afcfc33792450ad1,6092814806f245c993da39ed8ca30a38,d7437f59c92848a3bf4dcd4686a6f75c,31a8b8173c0d41e5b0f5bed131db9961,9d107730e8474ee1b51b1829c5806217,e2a63b786acc4995be3dfda5ecf590f2,bbbb0f8cdbb842e284eb7d78babab7e3,5f3d263129a543ffbb313dd3846b358b,eac78faf05d54899b53bed5ff136f9fd,668addff31d34cc9a54435fec7d2cb98,4a0c7c84acca4d54aec12d1ca82b267a,91de2b77721844e289c60b3f3a1017c9,8657bd972d4d42d0a328de568bc18595,4baee3a37e834041996512fa8b818321,cac542ace8c14cc7b49629c25cfa1bb2,85a5ad3d1d6b4c4990296ef159c25758,46ad697ee05a438bac7fd7f06b6037a2,8d80f0496cc646ab905ee5eb87900d01,e9cd9df0f46347ad969c3497a7a14343,c5d7496b203f40a79c252190cce083f5,367261a65cb143969af3927f728c5b9d,78bcfcf0093d48e6a36f0ed29964df84,cbf0a6f3d3d3464294cbc79cefa9ca46,283eb43adc9e4905a3ad75e8b3dd4918,227092741c0b43ce9475a7ef9b4457e0,7847786bb68b4839932c04b12e06065a,a9a71dee52a2436ca4688bb7f7bcddf7,366e9ef3e2394aec8f96b39e9a873310,8d76e40430fa4e6aa1ff3a0b00573500,eb4ecccc747949daaa7268676d554c39",,,,https://www.notion.so/diesel-generator-1f2356ecf8e34f1a81f4bff1c3c3a45b,1f2356ecf8e34f1a81f4bff1c3c3a45b,,d4be86fcee474db8a2af34af3eb522e1,CSA C282-19,,Weekly,Staff,https://www.csagroup.org/store/product/C282-15/,"#CannotAccess
 #ToPurchase","CSA C282-19, Section: ",
"CSA C282-15, Section: ",,,,"1. Complete all items specified in CSA 282:19 Table 2 for Weekly inspection, test and maintenance.
2. Test and verify the entire system as follows:
a) Simulate a failure of the normal electrical supply to the building.
b) Verify that the battery charger current output increases while cranking.
c) Operate the system under at least 40% of the rated load for 60 min.
d) Operate all automatic transfer switches under load.
e) Inspect brush operation for sparking, if applicable.
f) Inspect for bearing seal leakage.
g) Inspect for correct operation of all auxiliary equipment, e.g., radiator shutter control, coolant pumps, fuel
transfer pumps, oil coolers, and engine room ventilation system(s).
h) Record the readings for all instruments in the log (see Clause 11.5.3) and verify that they are normal.
i) Drain the exhaust system condensate trap.
3. Inspect block heater hoses and wires.
4. Batteries and charging equipment:
a) Inspect all battery cells for correct electrolyte fill level (applicable to vented or flooded lead-acid batteries
only). As a safer alternative, perform a battery conductance test using a conductance tester. Record test
results in the log book for trending purposes.
b) Test all battery cells for correct electrolyte-specific gravity (applicable to vented or flooded lead-acid batteries
only). This inspection may be omitted if the conductance test in Item a) is performed.
5. Correct all defects found during inspections and tests.
6. Record all inspections, tests, and corrective actions in the log (see Clause 11.5.3).
7. Inspect all electrical components to ensure proper function.","https://www.notion.so/Generator-Simulate-a-Failure-679d030e18d24e58b603dc6895b2c770, https://www.notion.so/Generator-Load-Test-30-a11c184b55c04fc1b82b5e227315946d, https://www.notion.so/Generator-Operate-Transfer-Switch-b073c9adc5de444ebe04643342a1ef5c, https://www.notion.so/Generator-Inspect-Brush-Operation-6a6e4e0180db4170af992ed5f7d6006e, https://www.notion.so/Generator-Inspect-Bearing-Seal-6c434e12cb514351b5cbf3251aca67d3, https://www.notion.so/Generator-Check-Operations-5e38f7d20422464da1b12af7f7937ca0, https://www.notion.so/Generator-PM-Data-Record-81444c7e130240539f1e43249087fec4, https://www.notion.so/Generator-Drain-Exhaust-System-ed3babcdf92a46ccb6af6d57dd70fc5f, https://www.notion.so/Generator-Inspect-Block-Heater-80e9a39ad7fc48d899529fc98aa0d549, https://www.notion.so/Generator-Fix-the-Defects-0da1fd6a02854c89b552c36cec88dc54, https://www.notion.so/Generator-PM-Data-Record-cc37715c47cf4e8e876a3ab1a584d681","679d030e18d24e58b603dc6895b2c770,a11c184b55c04fc1b82b5e227315946d,b073c9adc5de444ebe04643342a1ef5c,6a6e4e0180db4170af992ed5f7d6006e,6c434e12cb514351b5cbf3251aca67d3,5e38f7d20422464da1b12af7f7937ca0,81444c7e130240539f1e43249087fec4,ed3babcdf92a46ccb6af6d57dd70fc5f,80e9a39ad7fc48d899529fc98aa0d549,0da1fd6a02854c89b552c36cec88dc54,cc37715c47cf4e8e876a3ab1a584d681",,,,https://www.notion.so/diesel-generator-1f2356ecf8e34f1a81f4bff1c3c3a45b,1f2356ecf8e34f1a81f4bff1c3c3a45b,,241e3aad99204173b048e4a85dca6530,CSA C282-15,,Monthly,"Assignment Uncertain, See Note",https://www.csagroup.org/store/product/C282-15/,"#CannotAccess

SC:  I think this has to be done by a contractor. This requirement applies to emergency generators only.

SC: I think the classification of diesel generator should be changed to emergency generator - thoughts?

July 26 2022: SC tagged the task to be performed by the contractors, but TH suggested that most sites performs the monthly by their own.  Thus labor has been tagged with Staff & Contractors. ","CSA C282-15, Section: ",
"CSA C282-15, Section: ",,,,"1. Complete all items specified in CSA C282:19 Tables 2 and 3.
2. Inspect and clean engine crankcase breathers.
3. Inspect and clean all engine linkages.
4. Lubricate the engine governor and ventilation system.
5. Test protective devices for proper operation.
6. Before start-up, perform two full cranking cycles (as specified in Clauses 10.4.1 and 10.4.2). Near the end of each
cycle (and while still cranking), measure and record the lowest indicated battery voltage. If the measured voltage is
less than 80% of the battery's rated voltage, replace the battery. Alternatively, perform a battery load test using a
suitable load tester.
7. Inspect ventilation system belt(s).
8. Correct all defects found during inspections and tests.
9. Record all inspections, tests, and corrective actions in the log (see Clause 11.5.3).",https://www.notion.so/Generator-Semi-Annual-5a54c392194545a4ae6920630d0e57d3,5a54c392194545a4ae6920630d0e57d3,,,,https://www.notion.so/diesel-generator-1f2356ecf8e34f1a81f4bff1c3c3a45b,1f2356ecf8e34f1a81f4bff1c3c3a45b,,31decc3e68ee4a3d856287ba6cfc561f,CSA C282-15,,6 months,"Contractor, See Note",https://www.csagroup.org/store/product/C282-15/,#CannotAccess,"CSA C282-15, Section: ",
"CSA C282-15, Section: ",,,,"1. Complete all items specified in CSA C282:19 Tables 2 to 4. For the load test (item 2. (c) in Table 3) increase the
minimum load to 40% of the rated load for 60 minutes.
2. Control panel (see Clause B.29):
a) Open all inspection covers and inspect all electrical connections.
b) Test breakers for proper operation.
c) Clean insulators and bushings.
d) Test voltage regulator for proper operation.
e) Operate all moving parts to ensure that they move freely.
f) Clean and dress contacts as necessary.
g) Remove all dust.
h) Check gauge calibration.
i) For off-site fueled generators, turn position-indicating gas valve to off-position to ensure valve rotates properly
and that the audible alarm on generator control panel is activated.
3. Engine:
a) Change engine lubrication oil and filters.
b) Test strength of coolant and chemical protection level of coolant inhibitors.
c) Change fuel filters, clean strainer(s), and verify that the fuel supply valve is open.
d) Inspect the exhaust system. Check and record the back pressure of the exhaust system to ensure that it
complies with the engine manufacturer’s requirements, and compare with previous readings.
e) Clean and lubricate linkages.
f) Inspect air filters.
g) Inspect all mechanical connections.
h) Inspect all electrical connections.
i) Inspect all external surfaces of heat exchanger(s) and clean as necessary.
j) Inspect all belts and hoses and replace if necessary.
k) Test and inspect ignition system(s). Replace any defective components.
l) Inspect coolant pump(s) for leaks and external wear [if belt driven, remove the belt(s) first].
4. Diesel fuel storage tank(s):
The fuel oil in any storage tank (and auxiliary supply tank, if used) shall be tested in accordance with Clause 11.5.5,
and if the fuel oil fails the test, it shall be:
a) drained and refilled with fresh fuel in accordance with Article 6.5.1.5 of the National Fire Code of Canada; or
b) full filtered to remove water, scale, bacteria, and oxidized gums/resins in order to minimize filter clogging and
ensure diesel start-up (see Clause B.30 for commentary).
Note: The bottom(s) of the tank(s) shall be also tested chemically for water. When the fuel is filtered, it shall be
treated with a suitable conditioner and stabilizer to minimize degradation while in storage.
5. Generator:
a) Test surge suppressor and rotating rectifier on brushless machines.
b) Grease bearings (replace old grease with new) (if applicable).
c) Clean commutator and slip rings (if applicable).
d) Clean rotor and stator windings using clean compressed air.
e) Inspect coupling bolts and alignment.
f) Inspect conduits for tightness.
g) Inspect windings at rotor and stator slots.
h) Inspect all electrical connections.
6. Overcurrent protective devices:
a) Electrically isolate all overcurrent protective devices.
b) Remove all dust.
c) Test devices for proper operation.
7. Transfer switches:
a) Isolate transfer switch, open all inspection covers, and inspect all electrical connections.
b) Operate all moving parts to ensure that they move freely.
c) Clean and dress contacts as required.
d) Remove all dust.
e) Clean and lubricate linkages.
8. Infrared thermal imaging:
Perform infrared thermal imaging of the normal power supply (preferred) side of each transfer switch. Ensure
that the normal power supply side of each transfer switch has been loaded to at least 40% of the circuit rating
of the normal power supply feeder for at least 60 min and that the load does not drop below 40% during the
imaging. Scan all electrical connections, contacts, and energized components.
At the end of the 60 min load test (Item 2 c), Table 3), with the emergency power supply system (all
components) still operating under at least 40% load, perform infrared thermal imaging of all components from
the point where the load bank cables will be connected (for the 2 h full load test), through to and including the
load side of each transfer switch. Scan all electrical connections, contacts, circuit breakers, and energized
components.
After at least 60 min of the emergency generator full load test (see Clause 11.3), with the emergency generator
still operating under full load, conduct infrared thermal imaging of all components from the load terminals of
each alternator through to the connection point for the load bank cables. Scan all electrical connections,
contacts, circuit breakers, and energized components.
Correct any components or connections that displayed unacceptably high temperatures or unacceptable
differences in temperature between phases, during the tests in Items a), b), and c) above.
Repeat the infrared thermal imaging for any components and connections that were serviced, repaired, or
replaced following the scans performed in Items a), b), or c) above.
9. Lubricate door locks and hinges (if necessary), especially those of outdoor enclosures.
10. Conduct a 2 h full load test (see Clause 11.3).
11. As needed, review and provide instruction on the technical requirements specified in Tables 2 to 4 with the
person(s) responsible for carrying out the work.
12. Correct all defects found during inspections and tests.
13. Record all inspections, tests, and corrective actions in the log (see Clause 11.5.3).",https://www.notion.so/Generator-Annual-592b99d12c1c40178063c969f8c7b7b6,592b99d12c1c40178063c969f8c7b7b6,,"https://www.notion.so/National-Fire-Code-of-Canada-2015-Section-6-5-1-5-01ba5fd9e81f46c78363d59604064d7f, https://www.notion.so/National-Fire-Code-of-Canada-2015-Section-A-6-5-1-5-1-228306cc8f48494c915041e62a4479fb","01ba5fd9e81f46c78363d59604064d7f,228306cc8f48494c915041e62a4479fb",https://www.notion.so/diesel-generator-1f2356ecf8e34f1a81f4bff1c3c3a45b,1f2356ecf8e34f1a81f4bff1c3c3a45b,,9fbb62aee57d4501a7cb24cbcddfd71b,CSA C282-15,,Annually,"Contractor, See Note",https://www.csagroup.org/store/product/C282-15/,#CannotAccess,"CSA C282-15, Section: ",
"National Fire Code of Canada 2015, Section: 6.5.1.5",,,6.5.1.5,"6.5.1.5. Supply of Fresh Fuel
1) Liquid fuel storage tanks shall be drained and refilled with fresh fuel at intervals
not greater than 12 months. (See Note A-6.5.1.5.(1).)",https://www.notion.so/Generator-Fuel-Storage-Tank-0d91d62548d64b1ebec3ed55f1c77bb7,0d91d62548d64b1ebec3ed55f1c77bb7,https://www.notion.so/CSA-C282-15-Section-9fbb62aee57d4501a7cb24cbcddfd71b,,,https://www.notion.so/diesel-generator-1f2356ecf8e34f1a81f4bff1c3c3a45b,1f2356ecf8e34f1a81f4bff1c3c3a45b,Yes,01ba5fd9e81f46c78363d59604064d7f,National Fire Code of Canada 2015,,Annually,Contractor,https://publications.gc.ca/collections/collection_2019/cnrc-nrc/NR24-27-2018-eng.pdf,,"National Fire Code of Canada 2015, Section: 6.5.1.5",
