ID,Activity Name (TO CHANGE TO ACTIVITY CODE),Failure Mode,Activity Description,Freq Numeral,Freq Literal,Note on Trigger Condition,Activity Type,Activity Procedure Recommended Action,Trade,Wrench Time (H),Asset Offline?,Resources,Applies to Class,Applies to Product-Line,📊 Satisfies (Requirement),Comments,More General Activity Parent,More Specific Activity Child
activity_14,Rubber Insulating Gloves effectiveness Inspection,,Inspect the rubber insulating gloves for their effectiveness to provide safety.,6,Month,,,"1) Inspect rubber insulation gloves for the following
- hole, tear, puncture, or cut;
- Ozone cutting or ozone checking (a series of interlacing cracks produced by ozone on rubber under mechanical stress);
- Embedded foreign objects;
- Texture changes such as swelling, softening, hardening, or becoming sticky or inelastic; or
- Any other defect that damages the insulating properties
2) If damage is found, create a work request in WMS to replace and re-inspect the rubber insulating gloves.",Contractor,0.25,,,,,https://www.notion.so/ASTM-F1236-96-2012-Section-1910-137-c-2-iii-30fb14b97dac44fc98cf542b51dcedc3,,,
activity_15,Rubber Insulating Gloves Air Test,,"Air test the rubber insulating gloves as per ASTM F496-20, for their effectiveness to provide safety.",6,Month,,Test,"1) Complete air test as per ASTM F496-20.
2) If the rubber gloves are not compliant, create a work request in WMS to replace and retest the rubber insulating gloves.",Contractor,0.5,,,,,https://www.notion.so/ASTM-F496-20-Section-bc3008dc34054841af8abedfad3efe1b,,,
activity_16,Rubber Insulating Sleeves Inspection,,Inspect the rubber insulating sleeves for their effectiveness to provide safety.,6,Month,,Inspect,"1) Inspect rubber insulation sleeves for the following
- hole, tear, puncture, or cut;
- Ozone cutting or ozone checking (a series of interlacing cracks produced by ozone on rubber under mechanical stress);
- Embedded foreign objects;
- Texture changes such as swelling, softening, hardening, or becoming sticky or inelastic; or
- Any other defect that damages the insulating properties
2) If damage is found, create a work request in WMS to replace and re-inspect the rubber insulating sleeves.",Contractor,0.25,,,,,https://www.notion.so/ASTM-F1236-96-2012-Section-1910-137-c-2-iii-30fb14b97dac44fc98cf542b51dcedc3,,,
activity_17,Rubber Insulating Sleeves Air Test,,"Air test the rubber insulating sleeves as per ASTM F496-20, for its effectiveness to provide safety.",6,Month,,Test,"1) Complete air test as per ASTM F496-20.
2) If the rubber sleeves are not compliant, create a work request in WMS to replace and retest the rubber insulating sleeves.",Contractor,0.5,No,,,,https://www.notion.so/ASTM-F496-20-Section-bc3008dc34054841af8abedfad3efe1b,,,
activity_18,Emergency Wash Annual Inspection,,"Annual Eyewash Inspection per ANSI Z358.1-2014, Sec 5.5.5",1,Year,,Inspect,"Ensure that 
* the eyewash is still at accessible locations that require no more than 10 seconds from hazard,
* the path of travel from the sources of hazard to the eyewash is free of obstructions, and that not new structure or door has been added,
* any lighting in the area of wash station is working,
* check for the existence of shutoff valve, if any is found, ensure that a measure (still) exists to prevent its unauthorized shutoff
* is connected to a supply of flushing fluid per the manufacturer’s installation instructions,
* has sufficient supply to sustain spray pattern for a minimum period of 15 minutes,
* if the eyewash is vulnerable to freezing, it is protected from freezing the protection measures are in working condition.
If the emergency eye-wash or shower station is not compliant, notify the plant operations and create a work request in WMS",Decision of FMT,0.5,No,,,,,1/30/23 - [ ]TH with Durai and Robin: cannot fully assume this is performed by contractor 2) the procedure does not cite the standard it comes from.  ,,
activity_19,Emergency eyewash or shower- general,,Perform inspection for the operation of emergency eyewash and shower station.,1,Week,,Inspect,"1) Follow the ""Weekly Emergency Eyewash Station Maintenance Checklist"" SP O5 Appendix A to perform the inspection.[http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/eyewash-inspection-checklist.pdf]
2) Complete the required information in the checklist including the date and initials of the person performing the inspection.
3) If any questions in the checklist resulted in a negative answer, correct the issue yourself if you can. If not, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.
4) Report any obstructions, damage, improper flow, or potential problems to the area supervisor.",PT,0.25,No,,,,,,,
activity_20,Eye/face station-plumbed,,Perform inspection for the operation of eye/face station- plumbed.,1,Week,,,"1) Inspect all the items listed below for the eye/face station-plumbed:-
- Equipment safety sign is highly visible and area around Equipment is well lit
- Have instructions for its use or treatment displayed on the flushing Equipment or as near as practical
- Light bulbs and Light fixtures are in working condition
- Check inspection tag card present, initialed, and up-to-date
- Nozzles, dust caps and/or covers are in place
- No damage or cracks to the unit
- No signs of corrosion or leaking water around the unit
- No dirt or debris (dust or clean when needed � No chemical cleaners should be used)
- Pull rod, push flag, or other parts of the unit are in a functional, usable state
- Activate/run water for 2-3 mins weekly; ensure proper flow and water does not appear dirty or cloudy
- Adequate water pressure and flow (not erratic), constant until returned to resting position
- Anti-slip flooring is in place where drainage is insufficient or non-existent
- Flow removes eyepiece covers/ nozzle caps
- Water drains properly from the basin/sink. 
- Water temperature is ""tepid"" (16 � 38 degrees C)
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",PT,0.25,No,,,,,,,
activity_21,Self-contained breathing apparatus (SCBA),,Perform fit tests on all appropriate staff with all the components of self-contained breathing apparatus (SCBA).,1,Year,,Test,"1) Perform a fit test on all appropriate staff with all the components (hoses, regulator, pressure gauges, facepiece, harness, etc) of self-contained breathing apparatus (SCBA).
2) If any issues with fitting or sealing of components, report to the supervisor.
3) Practice the use of SCBA equipment.
4) Schedule SCBA usage refresher training for the appropriate staff.
5) Inspect tank for date stamp of last ""hydrostatic test"", if it has passed over 3 years from the test, report to supervisor immediately and request to schedule the ""hydrostatic test"".
",Contractor,1,,,,,,,,
activity_22,Self-contained breathing apparatus (SCBA): Hydrostatic Test,,Perform hydrostatic pressure test for all SCBA steel and aluminum cylinders to test the structural integrity of cylinders.,5,Year,,Test,"1) Perform a ""Hydrostatic Test"" for composite SCBA cylinder.
2) Remove the cylinder from service upon failure of a hydrostatic test.",Contractor,1,,,,,"https://www.notion.so/Section-SCBA-13659af723be49bca9b04ddfbbf1350c, https://www.notion.so/CSA-Z94-4-18-Section-11-6-2-87bc62ed3fac4bdba7fa28d12345293d",,,
activity_23,Self-contained breathing apparatus (SCBA),,Check the service life of the composite cylinder of SCBA.,1,Year,,Inspect,"1) Check the manufacturing date for the composite cylinder. The composite cylinder must be removed from service no later than 15 years from its manufacturing date.
",Contractor,0.25,,,,,,,,
activity_24,Self-contained breathing apparatus (SCBA),,Perform hydrostatic pressure test for all SCBA steel and aluminum cylinders to test the structural integrity of cylinders.,3,Year,,Test,"1) Perform ""Hydrostatic Test"" for composite SCBA cylinder.
2) Remove the cylinder from service upon failure of a hydrostatic test.",Contractor,1,,,,,,,,
activity_25,Self-contained breathing apparatus (SCBA),,Perform hydrostatic pressure test for all SCBA composite cylinders to test the structural integrity of cylinders.,5,Year,,Test,"1) Perform a ""Hydrostatic Test"" for all steel and aluminum SCBA cylinders.
2) Remove the cylinder from service upon failure of a hydrostatic test.",Contractor,1,,,,,,,,
activity_26,"Generator: Consumables, Fuel Level Check",,Inspect the fuel level in the auxillary supply tank. ,1,Week,,Inspect,"1) Inspect the fuel level in the auxiliary supply tank.
2) If the fuel level is below the designated low level, immediately create a Work Request for refueling. 
3)  If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.25,No,,,,,Why is the standards information is not showing up?,,
activity_27,"Generator: Consumables,  Main Tank Fuel Level",,Inspect the fuel level in the main tank to make sure there is sufficient fuel for the generator to run a minimum of 2 hours.,1,Week,,Inspect,"1) Inspect the fuel level in the main fuel supply tank.
2) If the fuel level is is not sufficient for the generator to run for 2 hours, immediately create a Work Request for refueling.
3)  If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.25,No,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_28,"Generator: Consumable, Oil Level",,Inspect the lubricating oil level. ,1,Week,,Inspect,"NOTE: if a dipstick is found on the governor, fuel pump, or any other device, their oil levels must also be checked.
SAFETY WARNING: the oil may be hot after a load test, take all PPE precautions to avoid skin burn.
1) If the generator is running turn off the generator, and let it sit idle for 4 minutes to let the oil settle.
2) Pull out the oil level gauge and wipe it clean with a cloth.
3) Insert the oil level gauge fully into the oil level gauge guide and then pull it out again to check for the fill level.
4) Confirm that the engine oil level displayed at the generator control panel roughly agrees with the dipstick reading.
5) Record oil level.
6) Top-up oil as required.
NOTE: use the machine oil type specified by the OEM for the top-up.",Ind Mill,0.25,No,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_29,"Generator: Consumables, Engine Coolant Level",,Inspect engine coolant level. ,1,Week,,Inspect,"1) Ensure the generator is not running and cooled off to make sure the coolant tank is not pressurized.
2) Verify that the coolant fill level is more than halfway between the low and high-level marks.
3) Record coolant level.
4) Confirm that the level indicated on the level gauge and/or the generator control panel reading is correct.
5) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.25,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_30,"Generator: Consumables, Check system for Leakage",,"Inspect engine, generator, fuel tank(s), and cooling systems for leakage",1,Week,,Inspect,"1) Use a flashlight to inspect for any signs of oil, fuel, coolant, electrolyte, or any other leaks on the genset.
2) Check the drip tray or the ground for any liquid.
3) If a leak is noticed,  create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.25,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_31,"Generator: Consumables, Inspect Fuel Transfer Pump ",,Inspect for proper operation of fuel transfer pump (if applicable),1,Week,,Inspect,"NOTE: Replacement or repair of the fuel filter should be done by a TSSA Certified Petroleum Mechanic.
1) Listen to the pump's operation (using a stethoscope if needed); ensure the pump is not making unusual grinding or rumbling noises that suggest abnormal wear.
2) Take note of any signs of fuel leak at the pump.
3) If an issue is discovered, provide a detailed comment, and create a Work Request for a TSSA certified technician.
NOTE: The pump is usually located at or near the fuel filter/fuel water separator.",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_32,"Generator: Consumables, Inspect Fuel Filter",,Inspect fuel filter for contamination if the filter is equipped with a transparent bowl.,1,Week,,Inspect,"NOTE: applicable to fuel filters fitted with a transparent bowl.
1. Visually check for the presence of solids or waxy sludge in the filter bowl.
2. Check if the fuel appears cloudy or dark brown.
3. Check fuel level is within 80% of the filter change indication line at the top of the bowl.
4. If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_33,"Generator: Starter System, Inspect Electrical Starter",,"Inspect electrical starter for cleanliness, mounting, and terminal security.",1,Week,,Inspect,"1) Ensure the starter is rigidly mounted.
2) Check electrical connection for tightness and integrity.
3) Wipe off excess dust with a rag.
4) When starting the engine for the monthly load test, verify that the cranking is not sluggish.
5) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_34,"Generator: Starter System, Inspect Air Tank",,Inspect air tanks for pressure.,1,Week,,Inspect,"1) Check the air pressure gauge to see if the air pressure in the air tank conforms to the standard.
2) Open the air pressure gauge valve.
3) Check the air pressure gauge.
Specified value: For air direct starting: 2.94 MPa {30 kgf/cm2} [427 psi] For air motor: 0.98 MPa {10 kgf/cm2 [142 psi]
4) If the specification of the air tank differs from the above specification, corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_35,"Generator: Starter System, Inspect Valve",,Inspect valve for leakage,1,Week,,Inspect,"1) Look around the valve for signs of damages.
2) Ensure that the valve is rigidly mounted.
3) hear (using a stethoscope if needed); if there is any hissing sound coming from the valve, indicating loose connection and leakage.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_36,"Generator: Starter System, Inspect Auxiliary Engine and Compressor",,Test auxiliary engine and compressor for proper operation.,1,Week,,Inspect,"1) Turn on the the GenSet.
2) Locate the auxiliary engine and insure it is operating without issues, and check for any unusual noise coming from the auxiliary engine. 
3) Locate the compressor and insure it is operating without issues, and check for any unusual noise coming from the compressor. 
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",,,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_37,"Generator: Starter System, Condensation Bleed Off",,Bleed off any condensation,1,Week,,Drain,"1) Make sure the genset is completely turned off.
2) Check the pressure gauge to make sure there is some pressure in the compressor tank.
3) Open the drain tap enough for the condensated water to blow out.
4) Close the drain tap once the water is drained. 
5) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_38,"Generator: Batteries and Charging Equipment, Inspect Battery Cells",,Inspect all battery cells for correct electrolyte fill level (applicable to vented or flooded lead-acid batteries only). ,1,Week,,Inspect,"SAFETY NOTE: battery acid is very corrosive, long chemical resistant gloves, rubber aprons, and face protection should be worn.
1) Clean the top of the battery to remove any dust or corrosion built up.
2) Open the battery's top caps to expose the fill wells.
3) Using a flashlight, ensure the electrolyte level is at least 1/2 inch above the plates.
4) Warning: do not fill the battery beyond the full indicator mark or above the bottom of the fill wells.
5) If the electrolyte level is low, top it up with distilled water.",Ind Mill,0.25,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_39,"Generator: Batteries and Charging Equipment, Test Battery Cells",,Test all battery cells for correct electrolyte specific gravity (applicable to vented or flooded lead-acid batteries only).,1,Week,,Test,"SAFETY NOTE: battery acid is very corrosive, long chemical resistant gloves, rubber aprons, and face protection should be worn.
1) Open the top cover of the battery.
2) Using a battery hydrometer, ensure that the specific gravity of the battery electrolyte is 1.265 or higher.
3) Record the specific gravity of the batteries.
4) If float voltage is NOT correct, record notes, detailed comments, and create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair and verify the charger's charge and float voltages.
",Ind Mill,0.25,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_40,"Generator: Batteries and Charging Equipment, Inspect Electrical Connections",,Inspect electrical connections for tightness and evidence of corrosion.,1,Week,,Inspect,"SAFETY NOTE: battery acid is very corrosive, long chemical resistant gloves, rubber aprons, and face protection should be worn.
1) Inspect for tightness of the terminal.
2) If light corrosion is found, disassemble the terminal, and clean the contacts gently using a fine metal brush or battery post cleaning tool.
3) If a severely corroded contact or crack in the house is found, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair to:
- replace the battery and/or the cable connector.
- check all battery charging voltages are within specification.
",PT,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_41,"Generator: Batteries and Charging Equipment, Inspect Battery for Cleanliness",,Inspect battery for cleanliness and dryness between terminals. ,1,Week,,Inspect,"1) Visually inspect the top of the batteries and the battery terminals.
2) If the top is wet, check if the electrolyte levels are too high.
3) If the electrolyte level is not high, then use a multimeter to check the float, charge, and equalization voltages against the battery manufacturer's specifications.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.    ",PT,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_42,"Generator: Batteries and Charging Equipment, Inspect Charger Connections",,Inspect charger electrical connections for cleanliness and tightness.,1,Week,,Inspect,"1) Visually inspect the electrical connections for cleanliness on the wire.
2) Check the tightness of the battery by giving the connection a twist. 
3) Check for corrosion, if light corrosion is found, clean the contacts gently using a fine metal brush or battery post cleaning tool.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.   ",EICT,0.25,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_43,"Generator: Engine, Test Lubricant Heater",,Test lubricant heaters for proper operation.,1,Week,,Test,"NOTE: applies to outdoor generators equipped with oil heater (usually located in the oil sump or in a bypass tank)
1) Locate the lube oil heater near the bottom of the engine oil pan; see OEM manual for detail
2) When the temperature is below - 5 C, verify that the heater hose is warm to touch.
",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
